Strain,husb,husb_group,animal_type,sample_type,genus
R13-AF11-pFin-01,AF1,AF1-1,finisher,feces,Escherichia coli
R13-AF11-pFin-02,AF1,AF1-1,finisher,feces,Escherichia coli
R13-AF11-pFin-03,AF1,AF1-1,finisher,feces,Escherichia coli
R13-AF11-pFin-04,AF1,AF1-1,finisher,feces,Escherichia coli
R13-AF11-pFin-05,AF1,AF1-1,finisher,feces,Escherichia coli
R13-AF11-pWea-01,AF1,AF1-1,weaner,feces,Escherichia coli
R13-AF11-pWea-02,AF1,AF1-1,weaner,feces,Escherichia coli
R13-AF11-pWea-03,AF1,AF1-1,weaner,feces,Escherichia coli
R13-AF11-pWea-04,AF1,AF1-1,weaner,feces,Escherichia coli
R13-AF11-pWea-05,AF1,AF1-1,weaner,feces,Escherichia coli
R13-AF12-pSow-01,AF1,AF1-2,sow,feces,Escherichia coli
R13-AF12-pSow-02,AF1,AF1-2,sow,feces,Escherichia coli
R13-AF12-pSow-03,AF1,AF1-2,sow,feces,Escherichia coli
R13-AF12-pSow-04,AF1,AF1-2,sow,feces,Escherichia coli
R13-AF12-pSow-05,AF1,AF1-2,sow,feces,Escherichia coli
R13-AF21-pWea-01,AF2,AF2-1,weaner,feces,Escherichia coli
R13-AF21-pWea-02,AF2,AF2-1,weaner,feces,Escherichia coli
R13-AF21-pWea-03,AF2,AF2-1,weaner,feces,Escherichia coli
R13-AF21-pWea-04,AF2,AF2-1,weaner,feces,Escherichia coli
R13-AF21-pWea-05,AF2,AF2-1,weaner,feces,Escherichia coli
R13-AF22-pFin-01,AF2,AF2-2,finisher,feces,Escherichia coli
R13-AF22-pFin-02,AF2,AF2-2,finisher,feces,Escherichia coli
R13-AF22-pFin-03,AF2,AF2-2,finisher,feces,Escherichia coli
R13-AF22-pFin-04,AF2,AF2-2,finisher,feces,Escherichia coli
R13-AF22-pFin-05,AF2,AF2-2,finisher,feces,Escherichia coli
R13-AF22-pSow-01,AF2,AF2-2,sow,feces,Escherichia coli
R13-AF22-pSow-02,AF2,AF2-2,sow,feces,Escherichia coli
R13-AF22-pSow-03,AF2,AF2-2,sow,feces,Escherichia coli
R13-AF22-pSow-04,AF2,AF2-2,sow,feces,Escherichia coli
R13-AF22-pSow-05,AF2,AF2-2,sow,feces,Escherichia coli
R13-AF31-pSow-01,AF3,AF3-1,sow,feces,Escherichia coli
R13-AF31-pSow-02,AF3,AF3-1,sow,feces,Escherichia coli
R13-AF31-pSow-03,AF3,AF3-1,sow,feces,Escherichia coli
R13-AF31-pSow-04,AF3,AF3-1,sow,feces,Escherichia coli
R13-AF31-pSow-05,AF3,AF3-1,sow,feces,Escherichia coli
R13-AF33-pWea-01,AF3,AF3-3,weaner,feces,Escherichia coli
R13-AF33-pWea-02,AF3,AF3-3,weaner,feces,Escherichia coli
R13-AF33-pWea-03,AF3,AF3-3,weaner,feces,Escherichia coli
R13-AF33-pWea-04,AF3,AF3-3,weaner,feces,Escherichia coli
R13-AF33-pWea-05,AF3,AF3-3,weaner,feces,Escherichia coli
R13-AF34-pFin-01,AF3,AF3-4,finisher,feces,Escherichia coli
R13-AF34-pFin-02,AF3,AF3-4,finisher,feces,Escherichia coli
R13-AF34-pFin-03,AF3,AF3-4,finisher,feces,Escherichia coli
R13-AF34-pFin-04,AF3,AF3-4,finisher,feces,Escherichia coli
R13-AF34-pFin-05,AF3,AF3-4,finisher,feces,Escherichia coli
R13-CV1-pFin-01,CV,CV-1,finisher,feces,Escherichia coli
R13-CV1-pFin-02,CV,CV-1,finisher,feces,Escherichia coli
R13-CV1-pFin-03,CV,CV-1,finisher,feces,Escherichia coli
R13-CV1-pFin-04,CV,CV-1,finisher,feces,Escherichia coli
R13-CV1-pFin-05,CV,CV-1,finisher,feces,Escherichia coli
R13-CV1-pSow-01,CV,CV-1,sow,feces,Escherichia coli
R13-CV1-pSow-02,CV,CV-1,sow,feces,Escherichia coli
R13-CV1-pSow-03,CV,CV-1,sow,feces,Escherichia coli
R13-CV1-pSow-04,CV,CV-1,sow,feces,Escherichia coli
R13-CV1-pSow-05,CV,CV-1,sow,feces,Escherichia coli
R13-CV2-pWea-02,CV,CV-2,weaner,feces,Escherichia coli
R13-CV2-pWea-03,CV,CV-2,weaner,feces,Escherichia coli
R13-CV2-pWea-04,CV,CV-2,weaner,feces,Escherichia coli
R13-CV2-pWea-05,CV,CV-2,weaner,feces,Escherichia coli
